id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review
8.84004E+17,MarkG's Shack!,81189031,Mark,,Barrhaven,45.2547057,-75.7303885,Entire home/apt,170.0,3.0,6,2023-10-15,0.28,1.0,363.0,0,Licensed,673.0
8.84709E+17,Townhouse room for professionals,415870364,Tanvi,,Rideau-Goulbourn,45.25159,-75.89554,Private room,69.0,1.0,13,2024-09-29,0.59,1.0,364.0,9,Licensed,323.0
8.84984E+17,Charming 3 bedroom unit,1959431,Paul,,Rideau-Vanier,45.44168,-75.65943,Entire home/apt,148.0,30.0,3,2024-02-05,0.15,11.0,364.0,0,Licensed,560.0
8.85503E+17,complete private basement,290415304,Maha,,College,45.3591181,-75.7495107,Private room,65.0,31.0,13,2024-09-07,0.58,4.0,364.0,2,Licensed,345.0
8.85678E+17,Cozy,56652346,Jason,,Orleans,45.48218,-75.50963,Private room,45.0,30.0,6,2024-11-30,0.31,3.0,0.0,3,Licensed,261.0
8.85683E+17,"Sun-Lit Condo Near Transit, Stores & Restaurants",326629866,Cheryl,,Kitchissippi,45.39497,-75.74804,Entire home/apt,100.0,30.0,2,2023-11-01,0.11,1.0,1.0,0,Licensed,656.0
8.85861E+17,Cozy& bright bedroom in Stittsville,124332818,Noëlla,,Stittsville-Kanata West,45.2857554,-75.9364431,Private room,74.0,1.0,37,2024-11-23,1.67,1.0,52.0,2,Licensed,268.0
8.85951E+17,Lovely Place Downtown Ottawa 76,41604531,Sam,,Rideau-Vanier,45.4295493,-75.6835412,Entire home/apt,138.0,30.0,103,2025-01-03,4.76,24.0,365.0,45,Exempt,227.0
8.86502E+17,Eclectic suite w backyard balcony in heart of city,463823712,Phedra,,Somerset,45.4158773,-75.685307,Entire home/apt,90.0,30.0,8,2025-02-15,0.56,2.0,168.0,6,Licensed,184.0
8.87063E+17,Stunning 2 bedroom modern town home,420094491,Yulia,,Stittsville-Kanata West,45.2671899,-75.8878228,Entire home/apt,171.0,2.0,70,2025-01-04,3.66,1.0,364.0,56,Licensed,226.0
8.87308E+17,Cozy and peaceful personal room in Ottawa,258018212,Kartavya,,Rideau-Goulbourn,45.2483767,-75.7149705,Private room,100.0,1.0,45,2024-10-27,2.1,2.0,0.0,13,Licensed,295.0
8.87584E+17,Ensuite room for 2 & adjcnt living rm. Free parkng,256632775,Md,,Innes,45.42789,-75.51655,Private room,40.0,30.0,47,2025-02-24,2.33,1.0,171.0,35,Exempt,175.0
8.87874E+17,Room At UOttawa 8Min Parliament,510569116,Carlos,,Rideau-Vanier,45.42348,-75.68086,Private room,110.0,2.0,0,,,8.0,365.0,0,Licensed,
8.87886E+17,Tiny Room Steps UOttawa/Downtown,146743514,Carlos,,Rideau-Vanier,45.42373,-75.67887,Private room,127.0,4.0,1,2023-05-21,0.05,22.0,365.0,0,Licensed,820.0
8.88367E+17,NOCleanFee!SelfCheck-in Chic Rmw/QueenBed inKanata,472593398,Gill,,Stittsville-Kanata West,45.2765486,-75.8835558,Private room,45.0,1.0,33,2025-03-07,1.49,14.0,349.0,16,Licensed,164.0
8.88412E+17,Spacious Room in Kanata North,458983927,Samy,,Kanata North,45.3533781,-75.9398729,Private room,43.0,30.0,1,2023-10-30,0.06,6.0,364.0,0,Licensed,658.0
8.88415E+17,Master bedroom in Kanata north,458983927,Samy,,Kanata North,45.3533781,-75.9398729,Private room,48.0,30.0,1,2023-07-05,0.05,6.0,364.0,0,Licensed,775.0
